Prov,Kab,Kec
12,12.14,12.14.33
12,12.14,12.14.34
12,12.14,12.14.35
12,12.15,12.15.01
12,12.15,12.15.02
12,12.15,12.15.03
12,12.15,12.15.04
12,12.15,12.15.05
12,12.15,12.15.06
12,12.15,12.15.07
12,12.15,12.15.08
12,12.16,12.16.01
12,12.16,12.16.02
12,12.16,12.16.03
12,12.16,12.16.04
12,12.16,12.16.05
12,12.16,12.16.06
12,12.16,12.16.07
12,12.16,12.16.08
12,12.16,12.16.09
12,12.16,12.16.10
12,12.17,12.17.01
12,12.17,12.17.02
12,12.17,12.17.03
12,12.17,12.17.04
12,12.17,12.17.05
12,12.17,12.17.06
12,12.17,12.17.07
12,12.17,12.17.08
12,12.17,12.17.09
12,12.18,12.18.01
12,12.18,12.18.02
12,12.18,12.18.03
12,12.18,12.18.04
12,12.18,12.18.05
12,12.18,12.18.06
12,12.18,12.18.07
12,12.18,12.18.08
12,12.18,12.18.09
12,12.18,12.18.10
12,12.18,12.18.11
12,12.18,12.18.12
12,12.18,12.18.13
12,12.18,12.18.14
12,12.18,12.18.15
12,12.18,12.18.16
12,12.18,12.18.17
12,12.19,12.19.01
12,12.19,12.19.02
12,12.19,12.19.03
12,12.19,12.19.04
12,12.19,12.19.05
12,12.19,12.19.06
12,12.19,12.19.07
12,12.19,12.19.08
12,12.19,12.19.09
12,12.19,12.19.10
12,12.19,12.19.11
12,12.19,12.19.12
12,12.20,12.20.01
12,12.20,12.20.02
12,12.20,12.20.03
12,12.20,12.20.04
12,12.20,12.20.05
12,12.20,12.20.06
12,12.20,12.20.07
12,12.20,12.20.08
12,12.20,12.20.09
12,12.20,12.20.10
12,12.20,12.20.11
12,12.20,12.20.12
12,12.21,12.21.01
12,12.21,12.21.02
12,12.21,12.21.03
12,12.21,12.21.04
12,12.21,12.21.05
12,12.21,12.21.06
12,12.21,12.21.07
12,12.21,12.21.08
12,12.21,12.21.09
12,12.21,12.21.10
12,12.21,12.21.11
12,12.21,12.21.12
12,12.22,12.22.01
12,12.22,12.22.02
12,12.22,12.22.03
12,12.22,12.22.04
12,12.22,12.22.05
12,12.23,12.23.01
12,12.23,12.23.02
12,12.23,12.23.03
12,12.23,12.23.04
12,12.23,12.23.05
12,12.23,12.23.06
12,12.23,12.23.07
12,12.23,12.23.08
12,12.24,12.24.01
12,12.24,12.24.02
12,12.24,12.24.03
12,12.24,12.24.04
12,12.24,12.24.05
12,12.24,12.24.06
12,12.24,12.24.07
12,12.24,12.24.08
12,12.24,12.24.09
12,12.24,12.24.10
12,12.24,12.24.11
12,12.25,12.25.01
12,12.25,12.25.02
12,12.25,12.25.03
12,12.25,12.25.04
12,12.25,12.25.05
12,12.25,12.25.06
12,12.25,12.25.07
12,12.25,12.25.08
12,12.71,12.71.01
12,12.71,12.71.02
12,12.71,12.71.03
12,12.71,12.71.04
12,12.71,12.71.05
12,12.71,12.71.06
12,12.71,12.71.07
12,12.71,12.71.08
12,12.71,12.71.09
12,12.71,12.71.10
12,12.71,12.71.11
12,12.71,12.71.12
12,12.71,12.71.13
12,12.71,12.71.14
12,12.71,12.71.15
12,12.71,12.71.16
12,12.71,12.71.17
12,12.71,12.71.18
12,12.71,12.71.19
12,12.71,12.71.20
12,12.71,12.71.21
12,12.72,12.72.01
12,12.72,12.72.02
12,12.72,12.72.03
12,12.72,12.72.04
12,12.72,12.72.05
12,12.72,12.72.06
12,12.72,12.72.07
12,12.72,12.72.08
12,12.73,12.73.01
12,12.73,12.73.02
12,12.73,12.73.03
12,12.73,12.73.04
12,12.74,12.74.01
12,12.74,12.74.02
12,12.74,12.74.03
12,12.74,12.74.04
12,12.74,12.74.05
12,12.74,12.74.06
12,12.75,12.75.01
12,12.75,12.75.02
12,12.75,12.75.03
12,12.75,12.75.04
12,12.75,12.75.05
12,12.76,12.76.01
12,12.76,12.76.02
12,12.76,12.76.03
12,12.76,12.76.04
12,12.76,12.76.05
12,12.77,12.77.01
12,12.77,12.77.02
12,12.77,12.77.03
12,12.77,12.77.04
12,12.77,12.77.05
12,12.77,12.77.06
12,12.78,12.78.01
12,12.78,12.78.02
12,12.78,12.78.03
12,12.78,12.78.04
12,12.78,12.78.05
12,12.78,12.78.06
13,13.01,13.01.01
13,13.01,13.01.02
13,13.01,13.01.03
13,13.01,13.01.04
13,13.01,13.01.05
13,13.01,13.01.06
13,13.01,13.01.07
13,13.01,13.01.08
13,13.01,13.01.09
13,13.01,13.01.10
13,13.01,13.01.11
13,13.01,13.01.12
13,13.01,13.01.13
13,13.01,13.01.14
13,13.01,13.01.15
13,13.02,13.02.03
13,13.02,13.02.04
13,13.02,13.02.05
13,13.02,13.02.06
13,13.02,13.02.07
13,13.02,13.02.08
13,13.02,13.02.09
13,13.02,13.02.10
13,13.02,13.02.11
13,13.02,13.02.12
13,13.02,13.02.13
13,13.02,13.02.17
13,13.02,13.02.18
13,13.02,13.02.19
13,13.03,13.03.03
13,13.03,13.03.04
13,13.03,13.03.05
13,13.03,13.03.06
13,13.03,13.03.07
13,13.03,13.03.08
13,13.03,13.03.09
13,13.03,13.03.10
13,13.04,13.04.01
13,13.04,13.04.02
13,13.04,13.04.03
13,13.04,13.04.04
13,13.04,13.04.05
13,13.04,13.04.06
13,13.04,13.04.07
13,13.04,13.04.08
13,13.04,13.04.09
13,13.04,13.04.10
13,13.04,13.04.11
13,13.04,13.04.12
13,13.04,13.04.13
13,13.04,13.04.14
13,13.05,13.05.01
13,13.05,13.05.02
13,13.05,13.05.03
13,13.05,13.05.04
13,13.05,13.05.05
13,13.05,13.05.06
13,13.05,13.05.07
13,13.05,13.05.08
13,13.05,13.05.09
13,13.05,13.05.10
13,13.05,13.05.11
13,13.05,13.05.12
13,13.05,13.05.13
13,13.05,13.05.14
13,13.05,13.05.15
13,13.05,13.05.16
13,13.05,13.05.17
13,13.06,13.06.01
13,13.06,13.06.02
13,13.06,13.06.03
13,13.06,13.06.04
13,13.06,13.06.05
13,13.06,13.06.06
13,13.06,13.06.07
13,13.06,13.06.08
13,13.06,13.06.09
13,13.06,13.06.10
13,13.06,13.06.11
13,13.06,13.06.12
13,13.06,13.06.13
13,13.06,13.06.14
13,13.06,13.06.15
13,13.06,13.06.16
13,13.07,13.07.01
13,13.07,13.07.02
13,13.07,13.07.03
13,13.07,13.07.04
13,13.07,13.07.05
13,13.07,13.07.06
13,13.07,13.07.07
13,13.07,13.07.08
13,13.07,13.07.09
13,13.07,13.07.10
13,13.07,13.07.11
13,13.07,13.07.12
13,13.07,13.07.13
13,13.08,13.08.04
13,13.08,13.08.05
13,13.08,13.08.07
13,13.08,13.08.08
13,13.08,13.08.12
13,13.08,13.08.13
13,13.08,13.08.14
13,13.08,13.08.15
13,13.08,13.08.16
13,13.08,13.08.17
13,13.08,13.08.18
13,13.08,13.08.19
13,13.09,13.09.01
13,13.09,13.09.02
13,13.09,13.09.03
13,13.09,13.09.04
13,13.09,13.09.05
13,13.09,13.09.06
13,13.09,13.09.07
13,13.09,13.09.08
13,13.09,13.09.09
13,13.09,13.09.10
13,13.10,13.10.01
13,13.10,13.10.02
13,13.10,13.10.03
13,13.10,13.10.04
13,13.10,13.10.05
13,13.10,13.10.06
13,13.10,13.10.07
13,13.10,13.10.08
13,13.10,13.10.09
13,13.10,13.10.10
13,13.10,13.10.11
13,13.11,13.11.01
13,13.11,13.11.02
13,13.11,13.11.03
13,13.11,13.11.04
13,13.11,13.11.05
13,13.11,13.11.06
13,13.11,13.11.07
13,13.12,13.12.01
13,13.12,13.12.02
13,13.12,13.12.03
13,13.12,13.12.04
13,13.12,13.12.05
13,13.12,13.12.06
13,13.12,13.12.07
13,13.12,13.12.08
13,13.12,13.12.09
13,13.12,13.12.10
13,13.12,13.12.11
13,13.71,13.71.01
13,13.71,13.71.02
13,13.71,13.71.03
13,13.71,13.71.04
13,13.71,13.71.05
13,13.71,13.71.06
13,13.71,13.71.07
13,13.71,13.71.08
13,13.71,13.71.09
13,13.71,13.71.10
13,13.71,13.71.11
13,13.72,13.72.01
13,13.72,13.72.02
13,13.73,13.73.01
13,13.73,13.73.02
13,13.73,13.73.03
13,13.73,13.73.04
13,13.74,13.74.01
13,13.74,13.74.02
13,13.75,13.75.01
13,13.75,13.75.02
13,13.75,13.75.03
13,13.76,13.76.01
13,13.76,13.76.02
13,13.76,13.76.03
13,13.76,13.76.04
13,13.76,13.76.05
13,13.77,13.77.01
13,13.77,13.77.02
13,13.77,13.77.03
13,13.77,13.77.04
14,14.01,14.01.01
14,14.01,14.01.02
14,14.01,14.01.03
14,14.01,14.01.04
14,14.01,14.01.05
14,14.01,14.01.06
14,14.01,14.01.07
14,14.01,14.01.08
14,14.01,14.01.09
14,14.01,14.01.10
14,14.01,14.01.11
14,14.01,14.01.12
14,14.01,14.01.13
14,14.01,14.01.14
14,14.01,14.01.15
14,14.01,14.01.16
14,14.01,14.01.17
14,14.01,14.01.18
14,14.01,14.01.19
14,14.01,14.01.20
14,14.01,14.01.21
14,14.02,14.02.01
14,14.02,14.02.02
14,14.02,14.02.03
14,14.02,14.02.04
14,14.02,14.02.05
14,14.02,14.02.06
14,14.02,14.02.07
14,14.02,14.02.08
14,14.02,14.02.09
14,14.02,14.02.10
14,14.02,14.02.11
14,14.02,14.02.12
14,14.02,14.02.13
14,14.02,14.02.14
14,14.03,14.03.01
14,14.03,14.03.02
14,14.03,14.03.03
14,14.03,14.03.09
14,14.03,14.03.10
14,14.03,14.03.11
14,14.03,14.03.12
14,14.03,14.03.13
14,14.03,14.03.14
14,14.03,14.03.15
14,14.03,14.03.16
14,14.04,14.04.01
14,14.04,14.04.02
14,14.04,14.04.03
14,14.04,14.04.04
14,14.04,14.04.05
14,14.04,14.04.06
14,14.04,14.04.07
14,14.04,14.04.08
14,14.04,14.04.09
14,14.04,14.04.10
14,14.04,14.04.11
14,14.04,14.04.12
14,14.04,14.04.13
14,14.04,14.04.14
14,14.04,14.04.15
14,14.04,14.04.16
14,14.04,14.04.17
14,14.04,14.04.18
14,14.04,14.04.19
14,14.04,14.04.20
14,14.05,14.05.01
14,14.05,14.05.02
14,14.05,14.05.03
14,14.05,14.05.04
14,14.05,14.05.05
14,14.05,14.05.06
14,14.05,14.05.07
14,14.05,14.05.08
14,14.05,14.05.09
14,14.05,14.05.10
14,14.05,14.05.11
14,14.05,14.05.12
14,14.06,14.06.01
14,14.06,14.06.02
14,14.06,14.06.03
14,14.06,14.06.04
14,14.06,14.06.05
14,14.06,14.06.06
14,14.06,14.06.07
14,14.06,14.06.08
14,14.06,14.06.09
14,14.06,14.06.10
14,14.06,14.06.11
14,14.06,14.06.12
14,14.06,14.06.13
14,14.06,14.06.14
14,14.06,14.06.15
14,14.06,14.06.16
14,14.07,14.07.01
14,14.07,14.07.02
14,14.07,14.07.03
14,14.07,14.07.04
14,14.07,14.07.05
14,14.07,14.07.06
14,14.07,14.07.07
14,14.07,14.07.08
14,14.07,14.07.09
14,14.07,14.07.10
14,14.07,14.07.11
14,14.07,14.07.12
14,14.07,14.07.13
14,14.07,14.07.14
14,14.07,14.07.15
14,14.07,14.07.16
14,14.07,14.07.17
14,14.07,14.07.18
14,14.08,14.08.01
14,14.08,14.08.02
14,14.08,14.08.03
14,14.08,14.08.04
14,14.08,14.08.05
14,14.08,14.08.06
14,14.08,14.08.07
14,14.08,14.08.08
14,14.08,14.08.09
14,14.08,14.08.10
14,14.08,14.08.11
14,14.08,14.08.12
14,14.08,14.08.13
14,14.08,14.08.14
14,14.09,14.09.01
14,14.09,14.09.02
